1.41421,4.47214,3.16228,2.23607,2.23607,0.02
1.41437,4.47243,3.16884,1.00562,2.2386,0.04
1.44333,4.4906,3.17588,1.01092,2.22617,0.06
1.47278,4.50886,3.1835,1.01558,2.23903,0.08
1.50308,4.52722,3.19156,2.24493,0.980346,0.1
1.50363,4.54567,3.21046,2.25167,2.22505,0.12
1.50428,4.54711,3.2191,2.2434,0.97273,0.14
1.50505,4.5658,3.23793,2.25994,2.23631,0.16
1.53622,4.58457,3.247,1.03464,0.965386,0.18
1.53717,4.60341,3.26575,2.25267,0.962081,0.2
1.55348,4.63072,3.28444,1.04111,0.958914,0.22
1.55458,4.64968,3.30308,2.26991,2.21989,0.24
1.58646,4.66871,3.31272,1.04701,2.21669,0.26
1.61873,4.6878,3.32288,1.04948,0.950525,0.28
1.63503,4.71489,3.34147,1.0517,0.948317,0.3
1.63632,4.73406,3.36003,2.2638,2.23018,0.32
1.6695,4.75329,3.37065,2.26279,0.944195,0.34
1.67086,4.77256,3.38919,1.05765,0.942348,0.36
1.73653,4.82532,3.40768,1.05927,0.940748,0.38
1.73792,4.84455,3.42616,2.2811,0.939367,0.4
1.73944,4.86382,3.44459,1.06202,1.37787,0.42
1.72475,4.88313,3.46679,1.06342,0.936576,0.44
1.77501,4.92792,3.48517,1.06475,0.935261,0.46
1.7765,4.94721,3.50354,1.06593,2.21367,0.48
1.81078,4.96654,3.51458,1.46876,0.932985,0.5
1.8123,4.9859,3.53295,1.06804,2.21047,0.52
1.81389,4.98859,3.54452,1.06906,0.930954,0.54
1.78306,4.99181,3.56289,2.27442,0.929868,0.56
1.75245,4.99532,3.58122,1.07138,1.3376,0.58
1.73886,5.01501,3.60268,2.27341,0.927266,0.6
1.74065,5.03475,3.62096,1.07414,0.925868,0.62
1.74246,5.05453,3.63921,1.07553,2.22336,0.64
1.8253,5.09823,3.65104,1.44435,0.923288,0.66
1.84275,5.12569,3.66929,1.07766,0.922339,0.68
1.84458,5.14546,3.68751,1.07858,0.921429,0.7
1.84644,5.16527,3.70573,2.29216,0.92052,0.72
1.81562,5.16915,3.72391,1.08045,4.12596,0.74
1.75354,5.18908,3.75492,1.08164,0.918362,0.76
1.75559,5.20905,3.77301,1.08299,0.917016,0.78
1.75769,5.22905,3.79108,1.08432,0.915687,0.8
1.75986,5.24907,3.8091,4.16613,0.914349,0.82
1.82578,5.3005,3.82712,1.08682,1.35969,0.84
1.81185,5.32049,3.84851,1.08786,0.912148,0.86
1.81401,5.34052,3.86648,1.08893,0.911081,0.88
1.81615,5.36053,3.88442,1.08998,3.1558,0.9
1.77084,5.38062,3.91299,1.48508,0.908852,0.92
1.78889,5.40861,3.93086,1.09239,0.907612,0.94
1.79123,5.42874,3.94869,1.09358,2.20354,0.96
1.82516,5.44889,3.95943,3.21392,0.905314,0.98
1.87556,5.4928,3.97726,1.09562,0.90438,1
1.87787,5.51294,3.99508,1.09646,0.903543,1.02
